system:index,B11,B12,B2,B3,B4,B8,MNDWI,NDBI,NDVI,NDWI,label,rand,.geo
10456,0.2236,0.1594,0.0552,0.0878,0.1009,0.279,-0.4336621,-0.118763804,0.46737966,-0.52878463,6,0.1988046741295143,"{""type"":""MultiPoint"",""coordinates"":[]}"
10457,0.4046,0.3526,0.1722,0.2142,0.261,0.3732,-0.31129056,0.042907596,0.16661456,-0.26766303,6,0.937668789956894,"{""type"":""MultiPoint"",""coordinates"":[]}"
10458,0.5694,0.5588,0.4538,0.5022,0.52525,0.5252,-0.063805416,0.04898814,-0.008360769,-0.022770394,6,0.7679793467069989,"{""type"":""MultiPoint"",""coordinates"":[]}"
10459,0.4437,0.3986,0.174,0.2152,0.2846,0.3416,-0.34498253,0.1347684,0.0863132,-0.22342505,6,0.950950419132547,"{""type"":""MultiPoint"",""coordinates"":[]}"
10460,0.3557,0.3195,0.2112,0.2524,0.2956,0.33,-0.18184741,0.039181113,0.056777153,-0.14754099,6,0.8725299254095594,"{""type"":""MultiPoint"",""coordinates"":[]}"
10461,0.2635,0.1767,0.0597,0.0924,0.1042,0.314,-0.47981575,-0.08129157,0.48942173,-0.53467023,6,0.18996559576863326,"{""type"":""MultiPoint"",""coordinates"":[]}"
10462,0.3209,0.2362,0.055,0.0813,0.0917,0.2824,-0.5926352,0.09144544,0.47896603,-0.54545456,6,0.20984813972474625,"{""type"":""MultiPoint"",""coordinates"":[]}"
10463,0.2839,0.1856,0.0656,0.103,0.1188,0.3568,-0.48626506,-0.101194955,0.498109,-0.554906,6,0.16255637616987062,"{""type"":""MultiPoint"",""coordinates"":[]}"
10464,0.3047,0.2375,0.1236,0.1626,0.1964,0.3056,-0.3057443,-0.0066224807,0.21399175,-0.30806097,6,0.23969194114567238,"{""type"":""MultiPoint"",""coordinates"":[]}"
10465,0.3346,0.271,0.1758,0.2096,0.2488,0.285,-0.23865087,0.0826406,0.07704718,-0.168,6,0.5868912622274137,"{""type"":""MultiPoint"",""coordinates"":[]}"
10466,0.30165,0.212,0.0688,0.0998,0.118,0.359,-0.508069,-0.0685043,0.49597228,-0.5578576,6,0.9242114833232423,"{""type"":""MultiPoint"",""coordinates"":[]}"
10467,0.28710002,0.20485,0.08565,0.121199995,0.12155,0.2042,-0.4020593,0.16944182,0.25927582,-0.24922152,6,0.23972409998926092,"{""type"":""MultiPoint"",""coordinates"":[]}"
10468,0.3166,0.2175,0.0491,0.0817,0.078,0.3516,-0.59312713,-0.074607916,0.64152616,-0.63781,6,0.26577750111672294,"{""type"":""MultiPoint"",""coordinates"":[]}"
10469,0.3499,0.3099,0.0966,0.1376,0.1709,0.2702,-0.4333922,0.11648682,0.23459461,-0.33205926,6,0.34635125647824405,"{""type"":""MultiPoint"",""coordinates"":[]}"
10470,0.3335,0.2653,0.1618,0.2198,0.2426,0.3788,-0.20477694,-0.059085205,0.20901795,-0.26547927,6,0.21677510074501882,"{""type"":""MultiPoint"",""coordinates"":[]}"
10471,0.354,0.2907,0.1798,0.206,0.232,0.2292,-0.27291703,0.21834627,5.7572394E-4,-0.06110849,6,0.8516487827742086,"{""type"":""MultiPoint"",""coordinates"":[]}"
10472,0.265,0.16565,0.03915,0.074750006,0.0689,0.375,-0.5534891,-0.1799869,0.68410134,-0.6514602,6,0.598201150449509,"{""type"":""MultiPoint"",""coordinates"":[]}"
10473,0.4383,0.38595,0.2216,0.2675,0.303,0.42084998,-0.24287724,0.022809952,0.1574531,-0.22502008,6,0.7977002582045184,"{""type"":""MultiPoint"",""coordinates"":[]}"
10474,0.4219,0.3862,0.2332,0.2742,0.3268,0.3772,-0.21541056,0.056576055,0.072229125,-0.16312057,6,0.6305298660693732,"{""type"":""MultiPoint"",""coordinates"":[]}"
10475,0.2964,0.2027,0.0934,0.127,0.1542,0.3252,-0.41173506,-0.030869063,0.34214878,-0.43730617,6,0.9946369206278146,"{""type"":""MultiPoint"",""coordinates"":[]}"
10476,0.2123,0.153,0.0426,0.074,0.077,0.2768,-0.49169773,-0.12987265,0.571234,-0.5764706,6,0.10132901893974533,"{""type"":""MultiPoint"",""coordinates"":[]}"
10477,0.19735,0.1152,0.0646,0.0925,0.1175,0.31599998,-0.36169848,-0.22457142,0.46351662,-0.54175293,6,0.3088602827208232,"{""type"":""MultiPoint"",""coordinates"":[]}"
10478,0.2374,0.1388,0.0304,0.068849996,0.0525,0.363,-0.5438326,-0.21505517,0.74426275,-0.66597384,6,0.7536560957619024,"{""type"":""MultiPoint"",""coordinates"":[]}"
10479,0.2953,0.2466,0.1032,0.113,0.1342,0.1407,-0.4473684,0.34108713,0.041916184,-0.116782665,6,0.31064882708872754,"{""type"":""MultiPoint"",""coordinates"":[]}"
10480,0.22715,0.1664,0.108,0.1422,0.1591,0.2551,-0.26495093,-0.043326195,0.22480826,-0.31297353,6,0.06764114672615185,"{""type"":""MultiPoint"",""coordinates"":[]}"
10481,0.2928,0.246,0.0809,0.1164,0.145,0.2624,-0.4432759,0.06531207,0.30107024,-0.3900539,6,0.6287684590400688,"{""type"":""MultiPoint"",""coordinates"":[]}"
10482,0.2545,0.161,0.0572,0.0952,0.0982,0.3628,-0.4527418,-0.16799022,0.5392354,-0.5861771,6,0.4024264545853091,"{""type"":""MultiPoint"",""coordinates"":[]}"
10483,0.30905002,0.1978,0.101,0.13389999,0.1413,0.3538,-0.39137724,-0.06681759,0.43057454,-0.4495308,6,0.5230099754875425,"{""type"":""MultiPoint"",""coordinates"":[]}"
10484,0.3414,0.3086,0.1526,0.1824,0.2308,0.2602,-0.3065442,0.13787958,0.075039476,-0.17922522,6,0.47759396572551516,"{""type"":""MultiPoint"",""coordinates"":[]}"
10485,0.3372,0.25,0.1092,0.14289999,0.1734,0.32050002,-0.4202624,0.052835558,0.29828298,-0.39175662,6,0.49201827885664173,"{""type"":""MultiPoint"",""coordinates"":[]}"
10486,0.3058,0.2142,0.1095,0.14289999,0.1693,0.333,-0.37717456,-0.04246673,0.33663395,-0.39900255,6,0.8930550577431902,"{""type"":""MultiPoint"",""coordinates"":[]}"
10487,0.30449998,0.2133,0.0987,0.1397,0.162,0.3806,-0.37379774,-0.10589572,0.40752116,-0.44602188,6,0.6241388171406577,"{""type"":""MultiPoint"",""coordinates"":[]}"
10488,0.4115,0.3146,0.166,0.2076,0.2652,0.3852,-0.32924467,0.031968016,0.19259934,-0.2978812,6,0.8397598570741833,"{""type"":""MultiPoint"",""coordinates"":[]}"
10489,0.47285,0.39165,0.2329,0.2977,0.3538,0.39005,-0.22364615,0.09394797,0.05887778,-0.14480202,6,0.4636637574227429,"{""type"":""MultiPoint"",""coordinates"":[]}"
10490,0.346,0.2861,0.1938,0.2396,0.289,0.3608,-0.17307995,-0.017706363,0.107875176,-0.19683959,6,0.4742107286156432,"{""type"":""MultiPoint"",""coordinates"":[]}"
10491,0.2286,0.186,0.1112,0.1336,0.155,0.1902,-0.27017546,0.09311393,0.11561001,-0.18269853,6,0.3378160466075786,"{""type"":""MultiPoint"",""coordinates"":[]}"
10492,0.3652,0.2982,0.0984,0.1326,0.1676,0.3264,-0.4653185,0.058823515,0.30862302,-0.40695652,6,0.002383423344698543,"{""type"":""MultiPoint"",""coordinates"":[]}"
10493,0.2777,0.2165,0.1114,0.1444,0.1974,0.3376,-0.31179708,-0.08928867,0.25593668,-0.3867121,6,0.5857535982524984,"{""type"":""MultiPoint"",""coordinates"":[]}"
10494,0.24955001,0.18335,0.05715,0.08435,0.08815,0.318,-0.49154115,-0.13221347,0.5618585,-0.5820501,6,0.5205185909878738,"{""type"":""MultiPoint"",""coordinates"":[]}"
10495,0.4007,0.3322,0.1692,0.2157,0.23875,0.31019998,-0.3040363,0.13080649,0.13523407,-0.18083854,6,0.560103588067025,"{""type"":""MultiPoint"",""coordinates"":[]}"
10496,0.1488,0.0831,0.0219,0.0472,0.0411,0.2425,-0.509434,-0.22968198,0.70616114,-0.669427,6,0.8764940271886791,"{""type"":""MultiPoint"",""coordinates"":[]}"
10497,0.3248,0.25065,0.0836,0.1223,0.1383,0.33205,-0.4545749,-0.0137408115,0.41109043,-0.45794508,6,0.6205970968481608,"{""type"":""MultiPoint"",""coordinates"":[]}"
10498,0.3487,0.2491,0.072,0.1076,0.1314,0.3651,-0.5255995,-0.023240939,0.46487293,-0.5451882,6,0.37433427810763753,"{""type"":""MultiPoint"",""coordinates"":[]}"
10499,0.37155002,0.31495,0.2023,0.2505,0.28045,0.3562,-0.19749555,0.019880986,0.11349958,-0.17880897,6,0.39731661496310844,"{""type"":""MultiPoint"",""coordinates"":[]}"
10500,0.30154997,0.22865,0.1028,0.14469999,0.1901,0.2998,-0.34288925,-0.017138738,0.22039045,-0.3537991,7,0.03728839914574844,"{""type"":""MultiPoint"",""coordinates"":[]}"
10501,0.40670002,0.3683,0.196,0.2385,0.284,0.3504,-0.2620331,0.07855435,0.090231545,-0.1828486,7,0.8181494040027453,"{""type"":""MultiPoint"",""coordinates"":[]}"
10502,0.2741,0.206,0.0947,0.1346,0.1706,0.2706,-0.34737784,-0.012603203,0.24226347,-0.34760955,7,0.6933874540962432,"{""type"":""MultiPoint"",""coordinates"":[]}"
10503,0.4081,0.3736,0.1816,0.231,0.282,0.346,-0.28684485,0.08666041,0.09597924,-0.21905653,7,0.8706780672236409,"{""type"":""MultiPoint"",""coordinates"":[]}"
10504,0.4301,0.3757,0.172,0.2116,0.2723,0.3568,-0.33413577,0.09335737,0.12595534,-0.24046545,7,0.4648734889166455,"{""type"":""MultiPoint"",""coordinates"":[]}"
10505,0.40315002,0.3587,0.1957,0.237,0.2789,0.36159998,-0.27719462,0.06268827,0.1112823,-0.21312116,7,0.8480361200418813,"{""type"":""MultiPoint"",""coordinates"":[]}"
10506,0.3978,0.3447,0.2026,0.239,0.288,0.394,-0.3035382,0.04753127,0.1366288,-0.21357769,7,0.10331226910011027,"{""type"":""MultiPoint"",""coordinates"":[]}"
10507,0.4235,0.383,0.1858,0.2286,0.2857,0.356,-0.28535032,0.088288315,0.10681459,-0.2296035,7,0.11010342933421213,"{""type"":""MultiPoint"",""coordinates"":[]}"
10508,0.4057,0.37,0.1882,0.2332,0.282,0.352,-0.27169698,0.08441556,0.10544216,-0.20629048,7,0.09535039972955661,"{""type"":""MultiPoint"",""coordinates"":[]}"
10509,0.4757,0.4087,0.1944,0.2347,0.2887,0.3996,-0.33611864,0.08990357,0.14152896,-0.24115452,7,0.00943700515857726,"{""type"":""MultiPoint"",""coordinates"":[]}"
10510,0.4104,0.3659,0.1918,0.2352,0.2878,0.3477,-0.27989712,0.078264855,0.0944348,-0.1950585,7,0.49248013534186674,"{""type"":""MultiPoint"",""coordinates"":[]}"
10511,0.4052,0.3704,0.1876,0.2296,0.285,0.3392,-0.2801648,0.088730305,0.098167524,-0.19417475,7,0.8724452342599326,"{""type"":""MultiPoint"",""coordinates"":[]}"
10512,0.4092,0.3741,0.1926,0.2344,0.2886,0.3472,-0.2757709,0.08368648,0.091024816,-0.18041956,7,0.975009141578638,"{""type"":""MultiPoint"",""coordinates"":[]}"
10513,0.4086,0.3723,0.1916,0.2326,0.285,0.3488,-0.26750657,0.07947508,0.0927969,-0.17979003,7,0.8900711356648939,"{""type"":""MultiPoint"",""coordinates"":[]}"
10514,0.3908,0.351,0.1982,0.236,0.284,0.38,-0.29652667,0.0550756,0.12700228,-0.20340474,7,0.47252688697114464,"{""type"":""MultiPoint"",""coordinates"":[]}"
10515,0.458,0.40935,0.208,0.25349998,0.2993,0.40899998,-0.2838291,0.059884384,0.1297006,-0.21704695,7,0.40190586504634307,"{""type"":""MultiPoint"",""coordinates"":[]}"
10516,0.41184998,0.375,0.1937,0.2369,0.2878,0.3518,-0.26844242,0.08152821,0.0934864,-0.19342512,7,0.10496632139897344,"{""type"":""MultiPoint"",""coordinates"":[]}"
10517,0.4044,0.3707,0.1836,0.2322,0.2824,0.3404,-0.2858642,0.09348981,0.096373715,-0.21164542,7,0.29919089023658174,"{""type"":""MultiPoint"",""coordinates"":[]}"
10518,0.3027,0.2274,0.0917,0.132,0.173,0.2498,-0.39917007,0.09189585,0.17437069,-0.3045311,7,0.5844944239467084,"{""type"":""MultiPoint"",""coordinates"":[]}"
10519,0.4044,0.3707,0.1824,0.231,0.2806,0.3468,-0.2743276,0.092446126,0.09429874,-0.2049127,7,0.5350143744769159,"{""type"":""MultiPoint"",""coordinates"":[]}"
10520,0.4235,0.383,0.1876,0.2338,0.2878,0.3564,-0.28208387,0.0844743,0.104789004,-0.22167487,7,0.09982833287984061,"{""type"":""MultiPoint"",""coordinates"":[]}"
